datetime,action,side,volume,price,layer,pnl
2023-07-12 00:00:00+00:00,fill,sell,0.01,1935.21,1.0,
2023-07-12 01:00:00+00:00,fill,sell,0.01,1937.21,2.0,
2023-07-12 02:00:00+00:00,fill,sell,0.01,1939.21,3.0,
2023-07-12 06:00:00+00:00,take_profit,sell,0.01,1935.21,,2.0
2023-07-12 06:00:00+00:00,take_profit,sell,0.01,1937.21,,2.0
2023-07-12 12:00:00+00:00,fill,sell,0.01,1941.21,4.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1943.21,5.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1938.68,1.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1940.68,2.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1942.68,3.0,
2023-07-12 13:00:00+00:00,take_profit,sell,0.01,1941.21,,2.0
2023-08-02 14:00:00+00:00,take_profit,sell,0.01,1939.21,,2.0
2023-08-02 14:00:00+00:00,take_profit,sell,0.01,1936.68,,2.0
2023-08-02 14:00:00+00:00,take_profit,sell,0.01,1938.68,,2.0
2023-08-02 14:00:00+00:00,take_profit,sell,0.01,1940.68,,2.0
2023-08-02 15:00:00+00:00,take_profit,sell,0.01,1933.21,,2.0
2023-08-03 07:00:00+00:00,fill,buy,0.01,1931.21,1.0,
2023-08-03 08:00:00+00:00,take_profit,buy,0.01,1933.21,,2.0
2023-08-03 10:00:00+00:00,fill,buy,0.01,1935.25,1.0,
2023-08-03 12:00:00+00:00,take_profit,buy,0.01,1937.25,,2.0
2023-08-03 13:00:00+00:00,fill,buy,0.01,1931.88,1.0,
2023-08-03 14:00:00+00:00,take_profit,buy,0.01,1933.88,,2.0
2023-08-04 10:00:00+00:00,fill,buy,0.01,1931.57,1.0,
2023-08-04 12:00:00+00:00,take_profit,buy,0.01,1933.57,,2.0
2023-08-04 12:00:00+00:00,fill,buy,0.01,1929.21,2.0,
2023-08-04 12:00:00+00:00,fill,buy,0.01,1927.21,3.0,
2023-08-04 12:00:00+00:00,fill,buy,0.01,1925.21,4.0,
2023-08-04 12:00:00+00:00,fill,sell,0.01,1942.47,1.0,
2023-08-04 13:00:00+00:00,take_profit,buy,0.01,1931.21,,2.0
2023-08-04 13:00:00+00:00,take_profit,buy,0.01,1929.21,,2.0
2023-08-04 13:00:00+00:00,take_profit,buy,0.01,1927.21,,2.0
2023-08-04 13:00:00+00:00,take_profit,sell,0.01,1940.47,,2.0
2023-08-04 13:00:00+00:00,fill,sell,0.01,1944.47,2.0,
2023-08-04 13:00:00+00:00,fill,sell,0.01,1946.47,3.0,
2023-08-04 14:00:00+00:00,take_profit,sell,0.01,1942.47,,2.0
2023-08-04 14:00:00+00:00,take_profit,sell,0.01,1944.47,,2.0
2023-08-04 14:00:00+00:00,fill,sell,0.01,1943.13,1.0,
2023-08-04 15:00:00+00:00,take_profit,sell,0.01,1941.13,,2.0
2023-08-04 16:00:00+00:00,fill,sell,0.01,1942.76,1.0,
2023-08-04 17:00:00+00:00,take_profit,sell,0.01,1940.76,,2.0
2023-08-06 22:00:00+00:00,fill,sell,0.01,1945.13,2.0,
2023-08-06 22:00:00+00:00,fill,sell,0.01,1943.76,1.0,
2023-08-06 23:00:00+00:00,take_profit,sell,0.01,1943.13,,2.0
2023-08-07 01:00:00+00:00,take_profit,sell,0.01,1941.76,,2.0
2023-08-07 10:00:00+00:00,fill,buy,0.01,1933.57,1.0,
2023-08-07 11:00:00+00:00,take_profit,buy,0.01,1935.57,,2.0
2023-08-07 12:00:00+00:00,fill,buy,0.01,1933.65,1.0,
2023-08-07 13:00:00+00:00,take_profit,buy,0.01,1935.65,,2.0
2023-08-07 14:00:00+00:00,fill,buy,0.01,1931.57,2.0,
2023-08-07 14:00:00+00:00,fill,buy,0.01,1933.78,1.0,
2023-08-07 15:00:00+00:00,take_profit,buy,0.01,1933.57,,2.0
