datetime,action,side,volume,price,layer,pnl
2023-07-12 01:00:00+00:00,fill,sell,0.01,1936.71,1.0,
2023-07-12 02:00:00+00:00,fill,sell,0.01,1940.21,2.0,
2023-07-12 06:00:00+00:00,take_profit,sell,0.01,1936.71,,3.5
2023-07-12 12:00:00+00:00,fill,sell,0.01,1943.71,3.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1940.18,1.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1943.68,2.0,
2023-07-14 14:00:00+00:00,fill,buy,0.01,1955.15,1.0,
2023-07-14 14:00:00+00:00,fill,buy,0.01,1951.65,2.0,
2023-07-14 15:00:00+00:00,take_profit,buy,0.01,1958.65,,3.5
2023-07-14 15:00:00+00:00,take_profit,buy,0.01,1955.15,,3.5
2023-07-14 19:00:00+00:00,fill,buy,0.01,1955.59,1.0,
2023-07-16 23:00:00+00:00,fill,buy,0.01,1952.09,2.0,
2023-07-17 01:00:00+00:00,take_profit,buy,0.01,1955.59,,3.5
2023-07-17 09:00:00+00:00,take_profit,buy,0.01,1959.09,,3.5
2023-07-17 12:00:00+00:00,fill,buy,0.01,1948.15,3.0,
2023-07-17 12:00:00+00:00,fill,buy,0.01,1950.06,1.0,
2023-07-17 13:00:00+00:00,fill,buy,0.01,1946.56,2.0,
2023-07-17 14:00:00+00:00,take_profit,buy,0.01,1951.65,,3.5
2023-07-17 14:00:00+00:00,take_profit,buy,0.01,1953.56,,3.5
2023-07-17 14:00:00+00:00,take_profit,buy,0.01,1950.06,,3.5
2023-07-31 01:00:00+00:00,fill,buy,0.01,1955.73,1.0,
2023-07-31 08:00:00+00:00,fill,buy,0.01,1952.23,2.0,
2023-07-31 09:00:00+00:00,take_profit,buy,0.01,1955.73,,3.5
2023-07-31 11:00:00+00:00,take_profit,buy,0.01,1959.23,,3.5
2023-08-01 12:00:00+00:00,fill,buy,0.01,1948.73,3.0,
2023-08-01 12:00:00+00:00,fill,buy,0.01,1951.56,1.0,
2023-08-01 12:00:00+00:00,fill,buy,0.01,1948.06,2.0,
2023-08-01 14:00:00+00:00,take_profit,buy,0.01,1952.23,,3.5
2023-08-01 14:00:00+00:00,take_profit,buy,0.01,1951.56,,3.5
2023-08-01 15:00:00+00:00,fill,buy,0.01,1944.03,1.0,
2023-08-01 22:00:00+00:00,take_profit,buy,0.01,1947.53,,3.5
2023-08-02 14:00:00+00:00,take_profit,sell,0.01,1940.21,,3.5
2023-08-02 14:00:00+00:00,take_profit,sell,0.01,1936.68,,3.5
2023-08-02 14:00:00+00:00,take_profit,sell,0.01,1940.18,,3.5
2023-08-02 14:00:00+00:00,fill,buy,0.01,1940.53,2.0,
2023-08-02 14:00:00+00:00,fill,buy,0.01,1937.03,3.0,
2023-08-02 15:00:00+00:00,take_profit,sell,0.01,1933.21,,3.5
2023-08-04 12:00:00+00:00,take_profit,buy,0.01,1940.53,,3.5
2023-08-04 13:00:00+00:00,take_profit,buy,0.01,1941.73,,1.2000000000000455
2023-08-07 03:00:00+00:00,fill,buy,0.01,1939.32,1.0,
2023-08-07 06:00:00+00:00,fill,buy,0.01,1935.82,2.0,
2023-08-07 13:00:00+00:00,take_profit,buy,0.01,1939.32,,3.5
2023-08-07 14:00:00+00:00,fill,buy,0.01,1932.32,3.0,
2023-08-07 17:00:00+00:00,take_profit,buy,0.01,1935.82,,3.5
2023-08-08 01:00:00+00:00,fill,buy,0.01,1931.64,1.0,
2023-08-08 03:00:00+00:00,take_profit,buy,0.01,1935.14,,3.5
2023-08-08 11:00:00+00:00,fill,buy,0.01,1928.14,2.0,
2023-08-08 12:00:00+00:00,fill,buy,0.01,1924.64,3.0,
2023-08-08 13:00:00+00:00,take_profit,buy,0.01,1928.14,,3.5
2023-08-08 14:00:00+00:00,take_profit,buy,0.01,1931.64,,3.5
2023-08-09 12:00:00+00:00,fill,buy,0.01,1923.14,1.0,
2023-08-09 14:00:00+00:00,take_profit,buy,0.01,1926.64,,3.5
2023-08-09 14:00:00+00:00,fill,buy,0.01,1919.64,2.0,
2023-08-09 14:00:00+00:00,fill,buy,0.01,1916.14,3.0,
2023-08-10 07:00:00+00:00,take_profit,buy,0.01,1919.64,,3.5
2023-08-10 12:00:00+00:00,take_profit,buy,0.01,1923.14,,3.5
2023-08-10 13:00:00+00:00,fill,buy,0.01,1920.45,1.0,
2023-08-10 14:00:00+00:00,fill,buy,0.01,1916.95,2.0,
