news_id,start,end,trend_level,direction,grid_spacing,title
hist_202307131230_cpi,2023-07-13 12:30:00+00:00,2023-07-14 12:30:00+00:00,L3,neutral,2.1,US CPI YoY
hist_202307131230_claims,2023-07-13 12:30:00+00:00,2023-07-13 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202307151230_retail,2023-07-15 12:30:00+00:00,2023-07-16 00:30:00+00:00,L2,neutral,2.8000000000000003,Retail Sales
hist_202307201230_claims,2023-07-20 12:30:00+00:00,2023-07-20 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202307251230_gdp,2023-07-25 12:30:00+00:00,2023-07-26 00:30:00+00:00,L2,neutral,2.8000000000000003,GDP QoQ
hist_202307261800_fomc,2023-07-26 18:00:00+00:00,2023-07-28 18:00:00+00:00,L3,neutral,2.1,FOMC Statement
hist_202307271230_claims,2023-07-27 12:30:00+00:00,2023-07-27 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202307281230_pce,2023-07-28 12:30:00+00:00,2023-07-29 12:30:00+00:00,L3,neutral,2.1,Core PCE Price Index
hist_202308031230_claims,2023-08-03 12:30:00+00:00,2023-08-03 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202308041230_nfp,2023-08-04 12:30:00+00:00,2023-08-05 12:30:00+00:00,L3,neutral,2.1,Nonfarm Payrolls
hist_202308071400_ism,2023-08-07 14:00:00+00:00,2023-08-08 02:00:00+00:00,L2,neutral,2.8000000000000003,ISM Manufacturing PMI
hist_202308091400_ism,2023-08-09 14:00:00+00:00,2023-08-10 02:00:00+00:00,L2,neutral,2.8000000000000003,ISM Services PMI
hist_202308101230_claims,2023-08-10 12:30:00+00:00,2023-08-10 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202308131230_cpi,2023-08-13 12:30:00+00:00,2023-08-14 12:30:00+00:00,L3,neutral,2.1,US CPI YoY
hist_202308151230_retail,2023-08-15 12:30:00+00:00,2023-08-16 00:30:00+00:00,L2,neutral,2.8000000000000003,Retail Sales
hist_202308171230_claims,2023-08-17 12:30:00+00:00,2023-08-17 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202308241230_claims,2023-08-24 12:30:00+00:00,2023-08-24 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202308281230_pce,2023-08-28 12:30:00+00:00,2023-08-29 12:30:00+00:00,L3,neutral,2.1,Core PCE Price Index
hist_202308311230_claims,2023-08-31 12:30:00+00:00,2023-08-31 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202309011230_nfp,2023-09-01 12:30:00+00:00,2023-09-02 12:30:00+00:00,L3,neutral,2.1,Nonfarm Payrolls
hist_202309041400_ism,2023-09-04 14:00:00+00:00,2023-09-05 02:00:00+00:00,L2,neutral,2.8000000000000003,ISM Manufacturing PMI
hist_202309061400_ism,2023-09-06 14:00:00+00:00,2023-09-07 02:00:00+00:00,L2,neutral,2.8000000000000003,ISM Services PMI
hist_202309071230_claims,2023-09-07 12:30:00+00:00,2023-09-07 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202309131230_cpi,2023-09-13 12:30:00+00:00,2023-09-14 12:30:00+00:00,L3,neutral,2.1,US CPI YoY
hist_202309141230_claims,2023-09-14 12:30:00+00:00,2023-09-14 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202309151230_retail,2023-09-15 12:30:00+00:00,2023-09-16 00:30:00+00:00,L2,neutral,2.8000000000000003,Retail Sales
hist_202309201800_fomc,2023-09-20 18:00:00+00:00,2023-09-22 18:00:00+00:00,L3,neutral,2.1,FOMC Statement
hist_202309211230_claims,2023-09-21 12:30:00+00:00,2023-09-21 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202309281230_claims,2023-09-28 12:30:00+00:00,2023-09-28 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202309281230_pce,2023-09-28 12:30:00+00:00,2023-09-29 12:30:00+00:00,L3,neutral,2.1,Core PCE Price Index
hist_202310021400_ism,2023-10-02 14:00:00+00:00,2023-10-03 02:00:00+00:00,L2,neutral,2.8000000000000003,ISM Manufacturing PMI
hist_202310041400_ism,2023-10-04 14:00:00+00:00,2023-10-05 02:00:00+00:00,L2,neutral,2.8000000000000003,ISM Services PMI
hist_202310051230_claims,2023-10-05 12:30:00+00:00,2023-10-05 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202310061230_nfp,2023-10-06 12:30:00+00:00,2023-10-07 12:30:00+00:00,L3,neutral,2.1,Nonfarm Payrolls
hist_202310121230_claims,2023-10-12 12:30:00+00:00,2023-10-12 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202310131230_cpi,2023-10-13 12:30:00+00:00,2023-10-14 12:30:00+00:00,L3,neutral,2.1,US CPI YoY
hist_202310151230_retail,2023-10-15 12:30:00+00:00,2023-10-16 00:30:00+00:00,L2,neutral,2.8000000000000003,Retail Sales
hist_202310191230_claims,2023-10-19 12:30:00+00:00,2023-10-19 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202310251230_gdp,2023-10-25 12:30:00+00:00,2023-10-26 00:30:00+00:00,L2,neutral,2.8000000000000003,GDP QoQ
hist_202310261230_claims,2023-10-26 12:30:00+00:00,2023-10-26 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202310281230_pce,2023-10-28 12:30:00+00:00,2023-10-29 12:30:00+00:00,L3,neutral,2.1,Core PCE Price Index
hist_202311011800_fomc,2023-11-01 18:00:00+00:00,2023-11-03 18:00:00+00:00,L3,neutral,2.1,FOMC Statement
hist_202311021230_claims,2023-11-02 12:30:00+00:00,2023-11-02 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202311031230_nfp,2023-11-03 12:30:00+00:00,2023-11-04 12:30:00+00:00,L3,neutral,2.1,Nonfarm Payrolls
hist_202311061400_ism,2023-11-06 14:00:00+00:00,2023-11-07 02:00:00+00:00,L2,neutral,2.8000000000000003,ISM Manufacturing PMI
hist_202311081400_ism,2023-11-08 14:00:00+00:00,2023-11-09 02:00:00+00:00,L2,neutral,2.8000000000000003,ISM Services PMI
hist_202311091230_claims,2023-11-09 12:30:00+00:00,2023-11-09 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202311131230_cpi,2023-11-13 12:30:00+00:00,2023-11-14 12:30:00+00:00,L3,neutral,2.1,US CPI YoY
hist_202311151230_retail,2023-11-15 12:30:00+00:00,2023-11-16 00:30:00+00:00,L2,neutral,2.8000000000000003,Retail Sales
hist_202311161230_claims,2023-11-16 12:30:00+00:00,2023-11-16 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202311231230_claims,2023-11-23 12:30:00+00:00,2023-11-23 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
hist_202311281230_pce,2023-11-28 12:30:00+00:00,2023-11-29 12:30:00+00:00,L3,neutral,2.1,Core PCE Price Index
hist_202311301230_claims,2023-11-30 12:30:00+00:00,2023-11-30 18:30:00+00:00,L1,neutral,3.5,Initial Jobless Claims
