datetime,action,side,volume,price,layer,pnl
2023-07-12 01:00:00+00:00,fill,sell,0.01,1936.71,1.0,
2023-07-12 02:00:00+00:00,fill,sell,0.01,1940.21,2.0,
2023-07-12 06:00:00+00:00,take_profit,sell,0.01,1936.71,,3.5
2023-07-12 12:00:00+00:00,fill,sell,0.01,1943.71,3.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1940.18,1.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1943.68,2.0,
2023-08-02 14:00:00+00:00,take_profit,sell,0.01,1940.21,,3.5
2023-08-02 14:00:00+00:00,take_profit,sell,0.01,1936.68,,3.5
2023-08-02 14:00:00+00:00,take_profit,sell,0.01,1940.18,,3.5
2023-08-02 15:00:00+00:00,take_profit,sell,0.01,1933.21,,3.5
2023-08-03 12:00:00+00:00,fill,buy,0.01,1929.71,1.0,
2023-08-03 13:00:00+00:00,take_profit,buy,0.01,1933.21,,3.5
2023-08-04 12:00:00+00:00,fill,buy,0.01,1926.21,2.0,
2023-08-04 12:00:00+00:00,fill,buy,0.01,1928.97,1.0,
2023-08-04 13:00:00+00:00,take_profit,buy,0.01,1929.71,,3.5
2023-08-04 13:00:00+00:00,take_profit,buy,0.01,1932.47,,3.5
2023-08-04 13:00:00+00:00,fill,sell,0.01,1943.97,1.0,
2023-08-04 14:00:00+00:00,take_profit,sell,0.01,1940.47,,3.5
2023-08-04 15:00:00+00:00,fill,buy,0.01,1937.63,1.0,
2023-08-04 16:00:00+00:00,take_profit,buy,0.01,1941.13,,3.5
2023-08-06 22:00:00+00:00,fill,sell,0.01,1944.61,1.0,
2023-08-07 01:00:00+00:00,take_profit,sell,0.01,1941.11,,3.5
2023-08-07 03:00:00+00:00,fill,buy,0.01,1938.61,1.0,
2023-08-07 10:00:00+00:00,fill,buy,0.01,1934.13,2.0,
2023-08-07 12:00:00+00:00,take_profit,buy,0.01,1937.63,,3.5
2023-08-07 13:00:00+00:00,fill,buy,0.01,1933.55,1.0,
2023-08-07 19:00:00+00:00,take_profit,buy,0.01,1937.05,,3.5
2023-08-08 11:00:00+00:00,fill,buy,0.01,1930.05,2.0,
2023-08-08 13:00:00+00:00,fill,buy,0.01,1922.71,3.0,
2023-08-08 14:00:00+00:00,take_profit,buy,0.01,1926.21,,3.5
2023-08-09 12:00:00+00:00,fill,buy,0.01,1923.14,1.0,
2023-08-09 14:00:00+00:00,take_profit,buy,0.01,1926.64,,3.5
2023-08-09 14:00:00+00:00,fill,buy,0.01,1919.64,2.0,
2023-08-09 14:00:00+00:00,fill,buy,0.01,1916.14,3.0,
2023-08-10 07:00:00+00:00,take_profit,buy,0.01,1919.64,,3.5
2023-08-10 12:00:00+00:00,take_profit,buy,0.01,1923.14,,3.5
2023-08-10 13:00:00+00:00,fill,buy,0.01,1920.45,1.0,
2023-08-10 14:00:00+00:00,fill,buy,0.01,1916.95,2.0,
2023-08-10 14:00:00+00:00,fill,buy,0.01,1913.45,3.0,
2023-08-10 15:00:00+00:00,take_profit,buy,0.01,1916.95,,3.5
2023-08-10 16:00:00+00:00,take_profit,buy,0.01,1920.45,,3.5
2023-08-28 15:00:00+00:00,take_profit,buy,0.01,1923.95,,3.5
2023-08-28 17:00:00+00:00,fill,buy,0.01,1918.14,1.0,
2023-08-29 00:00:00+00:00,take_profit,buy,0.01,1921.64,,3.5
2023-08-29 12:00:00+00:00,fill,buy,0.01,1914.64,2.0,
2023-08-29 13:00:00+00:00,take_profit,buy,0.01,1918.14,,3.5
2023-08-29 14:00:00+00:00,take_profit,buy,0.01,1933.55,,3.5
2023-08-30 12:00:00+00:00,take_profit,buy,0.01,1942.11,,3.5
2023-08-30 13:00:00+00:00,fill,sell,0.01,1947.47,2.0,
2023-08-30 13:00:00+00:00,fill,sell,0.01,1946.77,1.0,
2023-08-30 16:00:00+00:00,take_profit,sell,0.01,1943.97,,3.5
2023-08-30 16:00:00+00:00,take_profit,sell,0.01,1943.27,,3.5
2023-09-01 12:00:00+00:00,fill,sell,0.01,1950.97,3.0,
2023-09-01 12:00:00+00:00,fill,sell,0.01,1948.28,1.0,
2023-09-01 12:00:00+00:00,fill,sell,0.01,1951.78,2.0,
2023-09-01 13:00:00+00:00,take_profit,sell,0.01,1947.47,,3.5
2023-09-01 13:00:00+00:00,take_profit,sell,0.01,1944.78,,3.5
2023-09-01 13:00:00+00:00,take_profit,sell,0.01,1948.28,,3.5
